assay,best_d16,best_d64,ok_d16,ok_d64
4E-BP1,0,0,0,0
ADA,0,0,0,0
ARTN,0,0,0,0
AXIN1,0,0,0,0
Beta-NGF,0,0,0,0
CASP-8,0,0,0,0
CCL11,0,0,0,0
CCL19,0,0,0,0
CCL20,0,0,0,0
CCL23,0,0,0,0
CCL25,0,0,0,0
CCL28,0,0,0,0
CCL3,0,0,0,0
CCL4,0,0,0,0
CD244,0,0,0,0
CD40,0,0,0,0
CD5,0,0,0,0
CD6,0,0,0,0
CD8A,0,0,0,0
CDCP1,0,0,0,0
CSF-1,0,0,0,0
CST5,0,0,0,0
CX3CL1,0,0,0,0
CXCL1,0,0,0,0
CXCL10,0,0,0,0
CXCL11,0,0,0,0
CXCL5,0,0,0,0
CXCL6,0,0,0,0
CXCL9,0,0,0,0
DNER,0,0,0,0
Det Ctrl,0,0,0,0
EN-RAGE,0,0,0,0
Ext Ctrl,0,0,0,0
FGF-19,0,0,0,0
FGF-21,0,0,0,0
FGF-23,0,0,0,0
FGF-5,0,0,0,0
Flt3L,0,0,0,0
GDNF,0,0,0,0
HGF,0,0,0,0
IFN-gamma,0,0,0,0
IL-1 alpha,0,0,0,0
IL-10RA,0,0,0,0
IL-10RB,0,0,0,0
IL-12B,0,0,0,0
IL-15RA,0,0,0,0
IL-17A,0,0,0,0
IL-17C,0,0,0,0
IL-18R1,0,0,0,0
IL-20,0,0,0,0
IL-20RA,0,0,0,0
IL-22 RA1,0,0,0,0
IL-24,0,0,0,0
IL-2RB,0,0,0,0
IL10,0,0,0,0
IL13,0,0,0,0
IL18,0,0,0,0
IL2,0,0,0,0
IL33,0,0,0,0
IL4,0,0,0,0
IL5,0,0,0,0
IL6,0,0,0,0
IL7,0,0,0,0
IL8,0,0,0,0
Inc Ctrl 1,0,0,0,0
Inc Ctrl 2,0,0,0,0
LAP TGF-beta-1,0,0,0,0
LIF,0,0,0,0
LIF-R,0,0,0,0
MCP-1,0,0,0,0
MCP-2,0,0,0,0
MCP-3,0,0,0,0
MCP-4,0,0,0,0
MMP-1,0,0,0,0
MMP-10,0,0,0,0
NRTN,0,0,0,0
NT-3,0,0,0,0
OPG,0,0,0,0
OSM,0,0,0,0
PD-L1,0,0,0,0
SCF,0,0,0,0
SIRT2,0,0,0,0
SLAMF1,0,0,0,0
ST1A1,0,0,0,0
STAMBP,0,0,0,0
TGF-alpha,0,0,0,0
TNF,0,0,0,0
TNFB,0,0,0,0
TNFRSF9,0,0,0,0
TNFSF14,0,0,0,0
TRAIL,0,0,0,0
TRANCE,0,0,0,0
TSLP,0,0,0,0
TWEAK,0,0,0,0
VEGFA,0,0,0,0
uPA,0,0,0,0
