assay,best_d16,best_d64,ok_d16,ok_d64
4E-BP1,1,0,1,1
ADA,1,0,1,1
ARTN,0,0,1,1
AXIN1,0,0,1,1
Beta-NGF,1,0,1,1
CASP-8,1,0,1,1
CCL11,1,0,1,1
CCL19,0,1,1,1
CCL20,0,1,1,1
CCL23,0,1,1,1
CCL25,1,0,1,1
CCL28,0,1,1,1
CCL3,1,0,1,1
CCL4,1,0,1,1
CD244,0,1,1,1
CD40,0,1,1,1
CD5,1,0,1,1
CD6,0,0,1,1
CD8A,0,0,1,1
CDCP1,1,1,1,1
CSF-1,1,1,1,1
CST5,1,0,1,1
CX3CL1,1,0,1,1
CXCL1,1,1,1,1
CXCL10,0,1,1,1
CXCL11,1,0,1,1
CXCL5,0,1,1,1
CXCL6,1,1,1,1
CXCL9,1,0,1,1
DNER,1,0,1,1
Det Ctrl,0,0,0,0
EN-RAGE,1,0,1,1
Ext Ctrl,0,0,0,0
FGF-19,1,1,1,1
FGF-21,1,0,1,0
FGF-23,0,0,1,0
FGF-5,0,0,1,0
Flt3L,1,1,1,1
GDNF,0,0,1,1
HGF,1,1,1,1
IFN-gamma,1,1,1,1
IL-1 alpha,0,0,1,1
IL-10RA,0,0,1,0
IL-10RB,1,0,1,1
IL-12B,1,1,1,1
IL-15RA,0,0,1,1
IL-17A,0,0,1,0
IL-17C,0,0,1,0
IL-18R1,1,1,1,1
IL-20,0,0,0,0
IL-20RA,0,0,0,0
IL-22 RA1,0,0,0,0
IL-24,0,0,0,0
IL-2RB,0,0,0,0
IL10,0,0,1,1
IL13,0,0,1,0
IL18,1,1,1,1
IL2,0,0,0,0
IL33,0,0,0,0
IL4,0,0,0,0
IL5,0,0,0,0
IL6,0,1,1,1
IL7,0,0,0,0
IL8,0,1,1,1
Inc Ctrl 1,0,0,0,0
Inc Ctrl 2,0,0,0,0
LAP TGF-beta-1,1,0,1,1
LIF,1,0,1,1
LIF-R,1,0,1,0
MCP-1,0,1,1,1
MCP-2,1,1,1,1
MCP-3,1,0,1,1
MCP-4,1,1,1,1
MMP-1,0,1,1,1
MMP-10,1,1,1,1
NRTN,0,0,0,0
NT-3,0,0,1,0
OPG,0,1,1,1
OSM,1,1,1,1
PD-L1,1,0,1,1
SCF,1,1,1,1
SIRT2,0,0,1,1
SLAMF1,0,0,1,0
ST1A1,0,0,1,0
STAMBP,0,0,0,0
TGF-alpha,1,0,1,1
TNF,1,0,1,1
TNFB,1,0,1,1
TNFRSF9,1,1,1,1
TNFSF14,1,0,1,1
TRAIL,1,0,1,1
TRANCE,0,0,1,1
TSLP,0,0,0,0
TWEAK,1,1,1,1
VEGFA,1,1,1,1
uPA,1,1,1,1
